distance,slope,elevation
0,0.025658471,203.519577
1,0.025923378,203.5492439
2,0.026188286,203.5789108
3,0.026453193,203.6085777
4,0.0267181,203.6382446
5,0.026983008,203.6679115
6,0.027247915,203.6975784
7,0.027512822,203.7272453
8,0.02777773,203.7569122
9,0.028042637,203.7865791
10,0.028307544,203.816246
11,0.028572452,203.8459129
12,0.028837359,203.8755798
13,0.026427563,203.873136
14,0.024017767,203.8706923
15,0.021607971,203.8682485
16,0.019198176,203.8658048
17,0.01678838,203.863361
18,0.014378584,203.8609173
19,0.011968788,203.8584735
20,0.009558992,203.8560298
21,0.007149196,203.853586
22,0.004739401,203.8511423
23,0.002329605,203.8486985
24,-8.02E-05,203.8462548
25,-0.002489987,203.843811
26,-0.002780737,203.8331141
27,-0.003071486,203.8224171
28,-0.003362236,203.8117202
29,-0.003652985,203.8010233
30,-0.003943735,203.7903263
31,-0.004234484,203.7796294
32,-0.004525234,203.7689325
33,-0.004815983,203.7582355
34,-0.005106733,203.7475386
35,-0.005397483,203.7368417
36,-0.005688232,203.7261447
37,-0.005978982,203.7154478
38,-0.006269731,203.7047509
39,-0.006560481,203.6940539
40,-0.00685123,203.683357
41,-0.00714198,203.67266
42,-0.007432729,203.6619631
43,-0.007723479,203.6512662
44,-0.008014228,203.6405692
45,-0.008304978,203.6298723
46,-0.008595728,203.6191754
47,-0.008886477,203.6084784
48,-0.009177227,203.5977815
49,-0.009467976,203.5870846
50,-0.009758726,203.5763876
51,-0.010049475,203.5656907
52,-0.010340225,203.5549938
53,-0.010630974,203.5442968
54,-0.010921724,203.5335999
55,-0.01041288,203.5302419
56,-0.009904035,203.526884
57,-0.009395191,203.523526
58,-0.008886346,203.5201681
59,-0.008377502,203.5168101
60,-0.007868657,203.5134522
61,-0.007359813,203.5100942
62,-0.006850968,203.5067363
63,-0.006342124,203.5033783
64,-0.005833279,203.5000204
65,-0.005324435,203.4966624
66,-0.00481559,203.4933045
67,-0.004306746,203.4899465
68,-0.003797901,203.4865886
69,-0.003289057,203.4832306
70,-0.002926997,203.4857884
71,-0.002564937,203.4883461
72,-0.002202878,203.4909039
73,-0.001840818,203.4934616
74,-0.001478758,203.4960194
75,-0.001116698,203.4985771
76,-0.000754638,203.5011349
77,-0.000392579,203.5036927
78,-3.05E-05,203.5062504
79,0.000331541,203.5088082
80,0.000693601,203.5113659
81,0.001055661,203.5139237
82,0.001417721,203.5164814
83,0.00177978,203.5190392
84,0.00214184,203.5215969
85,0.0025039,203.5241547
86,0.002876962,203.533012
87,0.003250023,203.5418693
88,0.003623085,203.5507265
89,0.003996146,203.5595838
90,0.004369208,203.5684411
91,0.00474227,203.5772984
92,0.005115331,203.5861556
93,0.005488393,203.5950129
94,0.005861454,203.6038702
95,0.006234516,203.6127275
96,0.006607577,203.6215847
97,0.006980639,203.630442
98,0.007353701,203.6392993
99,0.007726762,203.6481566
100,0.008099824,203.6570138
101,0.008472885,203.6658711
102,0.008845947,203.6747284
103,0.009116228,203.6930455
104,0.009386509,203.7113626
105,0.009656789,203.7296797
106,0.00992707,203.7479967
107,0.010197351,203.7663138
108,0.010467632,203.7846309
109,0.010737912,203.802948
110,0.011008193,203.8212651
111,0.011278474,203.8395822
112,0.011548755,203.8578993
113,0.011819035,203.8762163
114,0.012089316,203.8945334
115,0.012359597,203.9128505
116,0.012629878,203.9311676
117,0.012900159,203.9494847
118,0.013170439,203.9678018
119,0.01344072,203.9861189
120,0.013711001,204.0044359
121,0.013981282,204.022753
122,0.014251562,204.0410701
123,0.014521843,204.0593872
124,0.014792124,204.0777043
125,0.015062405,204.0960214
126,0.015332686,204.1143385
127,0.015602966,204.1326555
128,0.015873247,204.1509726
129,0.016143528,204.1692897
130,0.016413809,204.1876068
131,0.016684089,204.2059239
132,0.01695437,204.224241
133,0.017224651,204.2425581
134,0.017494932,204.2608751
135,0.017765212,204.2791922
136,0.018035493,204.2975093
137,0.018305774,204.3158264
138,0.01848181,204.3370505
139,0.018657846,204.3582747
140,0.018833882,204.3794988
141,0.019009918,204.4007229
142,0.019185954,204.421947
143,0.01936199,204.4431712
144,0.019538026,204.4643953
145,0.019714062,204.4856194
146,0.019890098,204.5068435
147,0.020066134,204.5280677
148,0.02024217,204.5492918
149,0.020418206,204.5705159
150,0.020594242,204.5917401
151,0.020770278,204.6129642
152,0.020946314,204.6341883
153,0.02112235,204.6554124
154,0.021298386,204.6766366
155,0.021474422,204.6978607
156,0.021677833,204.7230867
157,0.021881245,204.7483127
158,0.022084656,204.7735387
159,0.022288067,204.7987647
160,0.022491479,204.8239906
161,0.02269489,204.8492166
162,0.022898301,204.8744426
163,0.023101713,204.8996686
164,0.023305124,204.9248946
165,0.023508535,204.9501206
166,0.023711946,204.9753466
167,0.023915358,205.0005726
168,0.024118769,205.0257986
169,0.02432218,205.0510246
170,0.024525592,205.0762505
171,0.024729003,205.1014765
172,0.024932414,205.1267025
173,0.025135826,205.1519285
174,0.025339237,205.1771545
175,0.025801015,205.2216603
176,0.026262793,205.2661661
177,0.026724572,205.3106719
178,0.02718635,205.3551777
179,0.027648128,205.3996835
180,0.028109906,205.4441893
181,0.028571684,205.4886951
182,0.029033462,205.5332009
183,0.029495241,205.5777067
184,0.029957019,205.6222125
185,0.030418797,205.6667182
186,0.030880575,205.711224
187,0.031342353,205.7557298
188,0.031804131,205.8002356
189,0.03226591,205.8447414
190,0.032727688,205.8892472
191,0.033189466,205.933753
192,0.033651244,205.9782588
193,0.034113022,206.0227646
194,0.0345748,206.0672704
195,0.035036579,206.1117762
196,0.035498357,206.156282
197,0.035960135,206.2007878
198,0.036421913,206.2452936
199,0.036883691,206.2897994
200,0.037345469,206.3343052
201,0.037807248,206.378811
202,0.038269026,206.4233168
203,0.038730804,206.4678226
204,0.039192582,206.5123284
205,0.03965436,206.5568341
206,0.040116138,206.6013399
207,0.040577917,206.6458457
208,0.041039695,206.6903515
209,0.041501473,206.7348573
210,0.041963251,206.7793631
211,0.042425029,206.8238689
212,0.042886807,206.8683747
213,0.043348586,206.9128805
214,0.043810364,206.9573863
215,0.044272142,207.0018921
216,0.045005044,207.061801
217,0.045737946,207.1217099
218,0.046470848,207.1816188
219,0.04720375,207.2415277
220,0.047936652,207.3014366
221,0.048669554,207.3613456
222,0.049402456,207.4212545
223,0.050135358,207.4811634
224,0.05086826,207.5410723
225,0.051601162,207.6009812
226,0.052334063,207.6608901
227,0.053066965,207.720799
228,0.053799867,207.7807079
229,0.054532769,207.8406168
230,0.055265671,207.9005257
231,0.055998573,207.9604347
232,0.056731475,208.0203436
233,0.057464377,208.0802525
234,0.058197279,208.1401614
235,0.058930181,208.2000703
236,0.059663083,208.2599792
237,0.059826274,208.3225555
238,0.059989465,208.3851318
239,0.060152656,208.4477081
240,0.060315846,208.5102844
241,0.060479037,208.5728607
242,0.060642228,208.635437
243,0.060805419,208.6980133
244,0.06096861,208.7605896
245,0.061131801,208.8231659
246,0.061294992,208.8857422
247,0.061458183,208.9483185
248,0.061621373,209.0108947
249,0.061784564,209.073471
250,0.061947755,209.1360473
251,0.062110946,209.1986236
252,0.062274137,209.2611999
253,0.062437328,209.3237762
254,0.062600519,209.3863525
255,0.062763709,209.4489288
256,0.0629269,209.5115051
257,0.063090091,209.5740814
258,0.063253282,209.6366577
259,0.063257815,209.7008806
260,0.063262348,209.7651034
261,0.063266881,209.8293263
262,0.063271414,209.8935491
263,0.063275947,209.957772
264,0.06328048,210.0219948
265,0.063285013,210.0862177
266,0.063289546,210.1504405
267,0.063294079,210.2146634
268,0.063298612,210.2788862
269,0.063303145,210.3431091
270,0.063307678,210.407332
271,0.063312211,210.4715548
272,0.063316744,210.5357777
273,0.063321277,210.6000005
274,0.06332581,210.6642234
275,0.063330343,210.7284462
276,0.063334876,210.7926691
277,0.063339409,210.8568919
278,0.063343942,210.9211148
279,0.063348475,210.9853376
280,0.063353008,211.0495605
281,0.063096464,211.1006469
282,0.06283992,211.1517334
283,0.062583376,211.2028198
284,0.062326832,211.2539062
285,0.062070288,211.3049926
286,0.061813744,211.3560791
287,0.0615572,211.4071655
288,0.061300656,211.4582519
289,0.061044112,211.5093383
290,0.060787568,211.5604248
291,0.060531024,211.6115112
292,0.06027448,211.6625976
293,0.060017936,211.7136841
294,0.059761392,211.7647705
295,0.059504848,211.8158569
296,0.059248304,211.8669433
297,0.05899176,211.9180298
298,0.058735216,211.9691162
299,0.058478672,212.0202026
300,0.058222128,212.0712891
301,0.057965584,212.1223755
302,0.05770904,212.1734619
303,0.057452496,212.2245483
304,0.057195951,212.2756348
305,0.056939407,212.3267212
306,0.056682863,212.3778076
307,0.056426319,212.428894
308,0.056169775,212.4799805
309,0.055913231,212.5310669
310,0.055656687,212.5821533
311,0.055400143,212.6332398
312,0.055143599,212.6843262
313,0.054887055,212.7354126
314,0.054630511,212.786499
315,0.054373967,212.8375855
316,0.054117423,212.8886719
317,0.053860879,212.9397583
318,0.053604335,212.9908448
319,0.053347791,213.0419312
320,0.053091247,213.0930176
321,0.052834703,213.144104
322,0.052578159,213.1951905
323,0.052321615,213.2462769
324,0.052065071,213.2973633
325,0.051808527,213.3484497
326,0.051551983,213.3995362
327,0.051295439,213.4506226
328,0.051894668,213.5164081
329,0.052493897,213.5821936
330,0.053093127,213.6479791
331,0.053692356,213.7137646
332,0.054291585,213.7795501
333,0.054890814,213.8453355
334,0.055490044,213.911121
335,0.056089273,213.9769065
336,0.056688502,214.042692
337,0.057287731,214.1084775
338,0.057886961,214.174263
339,0.05848619,214.2400485
340,0.059085419,214.305834
341,0.059684648,214.3716195
342,0.060283877,214.437405
343,0.060883107,214.5031905
344,0.061482336,214.5689759
345,0.062081565,214.6347614
346,0.062680794,214.7005469
347,0.063280024,214.7663324
348,0.063879253,214.8321179
349,0.064478482,214.8979034
350,0.064876581,214.9709903
351,0.06527468,215.0440773
352,0.065672778,215.1171642
353,0.066070877,215.1902512
354,0.066468976,215.2633381
355,0.066867075,215.3364251
356,0.067265173,215.409512
357,0.067663272,215.482599
358,0.068061371,215.5556859
359,0.06845947,215.6287729
360,0.068857569,215.7018598
361,0.069255667,215.7749468
362,0.069653766,215.8480337
363,0.070051865,215.9211207
364,0.070449964,215.9942076
365,0.070848063,216.0672946
366,0.071246161,216.1403815
367,0.07164426,216.2134685
368,0.072042359,216.2865554
369,0.072440458,216.3596424
370,0.072838556,216.4327293
371,0.073236655,216.5058163
372,0.073634754,216.5789032
373,0.073103598,216.6277025
374,0.072572441,216.6765017
375,0.072041285,216.725301
376,0.071510129,216.7741003
377,0.070978972,216.8228995
378,0.070447816,216.8716988
379,0.06991666,216.9204981
380,0.069385503,216.9692973
381,0.068854347,217.0180966
382,0.068323191,217.0668959
383,0.067792034,217.1156951
384,0.067260878,217.1644944
385,0.066729721,217.2132936
386,0.066198565,217.2620929
387,0.065667409,217.3108922
388,0.065136252,217.3596914
389,0.064605096,217.4084907
390,0.06407394,217.45729
391,0.063542783,217.5060892
392,0.063011627,217.5548885
393,0.062480471,217.6036878
394,0.061949314,217.652487
395,0.061418158,217.7012863
396,0.060887002,217.7500856
397,0.060355845,217.7988848
398,0.059824689,217.8476841
399,0.059293533,217.8964834
400,0.058762376,217.9452826
401,0.05823122,217.9940819
402,0.057700064,218.0428812
403,0.057168907,218.0916804
404,0.056637751,218.1404797
405,0.056106595,218.189279
406,0.055575438,218.2380782
407,0.055044282,218.2868775
408,0.054513125,218.3356767
409,0.053981969,218.384476
410,0.053450813,218.4332753
411,0.052919656,218.4820745
412,0.0523885,218.5308738
413,0.051857344,218.5796731
414,0.051326187,218.6284723
415,0.050795031,218.6772716
416,0.050263875,218.7260709
417,0.049732718,218.7748701
418,0.049201562,218.8236694
419,0.049260521,218.8745762
420,0.04931948,218.925483
421,0.049378439,218.9763898
422,0.049437397,219.0272966
423,0.049496356,219.0782034
424,0.049555315,219.1291101
425,0.049614274,219.1800169
426,0.049673233,219.2309237
427,0.049732192,219.2818305
428,0.049791151,219.3327373
429,0.04985011,219.3836441
430,0.049909068,219.4345509
431,0.049968027,219.4854577
432,0.050026986,219.5363645
433,0.050085945,219.5872713
434,0.050144904,219.6381781
435,0.050203863,219.6890848
436,0.050262822,219.7399916
437,0.05032178,219.7908984
438,0.050380739,219.8418052
439,0.050439698,219.892712
440,0.050498657,219.9436188
441,0.050627806,219.9971407
442,0.050756955,220.0506625
443,0.050886103,220.1041844
444,0.051015252,220.1577062
445,0.051144401,220.2112281
446,0.05127355,220.26475
447,0.051402698,220.3182718
448,0.051531847,220.3717937
449,0.051660996,220.4253155
450,0.051790145,220.4788374
451,0.051919294,220.5323593
452,0.052048442,220.5858811
453,0.052177591,220.639403
454,0.05230674,220.6929249
455,0.052435889,220.7464467
456,0.052565038,220.7999686
457,0.052694186,220.8534904
458,0.052823335,220.9070123
459,0.052952484,220.9605342
460,0.053081633,221.014056
461,0.053210781,221.0675779
462,0.05333993,221.1210997
463,0.053469079,221.1746216
464,0.05345038,221.2269971
465,0.053431681,221.2793725
466,0.053412981,221.331748
467,0.053394282,221.3841234
468,0.053375583,221.4364989
469,0.053356884,221.4888744
470,0.053338184,221.5412498
471,0.053319485,221.5936253
472,0.053300786,221.6460007
473,0.053282087,221.6983762
474,0.053263387,221.7507517
475,0.053244688,221.8031271
476,0.053225989,221.8555026
477,0.05320729,221.9078781
478,0.05318859,221.9602535
479,0.053169891,222.012629
480,0.053151192,222.0650044
481,0.053132493,222.1173799
482,0.053113793,222.1697554
483,0.053095094,222.2221308
484,0.053076395,222.2745063
485,0.053057696,222.3268817
486,0.053038997,222.3792572
487,0.053020297,222.4316327
488,0.053001598,222.4840081
489,0.052982899,222.5363836
490,0.0529642,222.588759
491,0.0529455,222.6411345
492,0.052926801,222.69351
493,0.052908102,222.7458854
494,0.052889403,222.7982609
495,0.052870703,222.8506363
496,0.052852004,222.9030118
497,0.052833305,222.9553873
498,0.052814606,223.0077627
499,0.052795906,223.0601382
500,0.052777207,223.1125137
501,0.052758508,223.1648891
502,0.052739809,223.2172646
503,0.052721109,223.26964
504,0.05270241,223.3220155
505,0.052683711,223.374391
506,0.052665012,223.4267664
507,0.052646312,223.4791419
508,0.052627613,223.5315173
509,0.052608914,223.5838928
510,0.052434728,223.633789
511,0.052260542,223.6836853
512,0.052086356,223.7335815
513,0.05191217,223.7834778
514,0.051737984,223.833374
515,0.051563798,223.8832702
516,0.051389612,223.9331665
517,0.051215426,223.9830627
518,0.05104124,224.032959
519,0.050867054,224.0828552
520,0.050692868,224.1327514
521,0.050518683,224.1826477
522,0.050344497,224.2325439
523,0.050170311,224.2824401
524,0.049996125,224.3323364
525,0.049821939,224.3822326
526,0.049647753,224.4321289
527,0.049473567,224.4820251
528,0.049299381,224.5319213
529,0.049125195,224.5818176
530,0.048951009,224.6317138
531,0.048776823,224.6816101
532,0.048602637,224.7315063
533,0.048627181,224.7805792
534,0.048651724,224.8296522
535,0.048676268,224.8787251
536,0.048700811,224.927798
537,0.048725355,224.976871
538,0.048749899,225.0259439
539,0.048774442,225.0750168
540,0.048798986,225.1240897
541,0.048823529,225.1731627
542,0.048848073,225.2222356
543,0.048872617,225.2713085
544,0.04889716,225.3203815
545,0.048921704,225.3694544
546,0.048946248,225.4185273
547,0.048970791,225.4676003
548,0.048995335,225.5166732
549,0.049019878,225.5657461
550,0.049044422,225.614819
551,0.049068966,225.663892
552,0.049093509,225.7129649
553,0.049118053,225.7620378
554,0.049142596,225.8111108
555,0.04916714,225.8601837
556,0.049273004,225.913741
557,0.049378869,225.9672983
558,0.049484733,226.0208556
559,0.049590598,226.0744129
560,0.049696462,226.1279702
561,0.049802327,226.1815276
562,0.049908191,226.2350849
563,0.050014055,226.2886422
564,0.05011992,226.3421995
565,0.050225784,226.3957568
566,0.050331649,226.4493141
567,0.050437513,226.5028714
568,0.050543378,226.5564287
569,0.050649242,226.609986
570,0.050755106,226.6635433
571,0.050860971,226.7171006
572,0.050966835,226.770658
573,0.0510727,226.8242153
574,0.051178564,226.8777726
575,0.051284429,226.9313299
576,0.051390293,226.9848872
577,0.051496158,227.0384445
578,0.051602022,227.0920018
579,0.051707886,227.1455591
580,0.051813751,227.1991164
581,0.051919615,227.2526737
582,0.05202548,227.306231
583,0.052131344,227.3597884
584,0.052237209,227.4133457
585,0.052343073,227.466903
586,0.052448937,227.5204603
587,0.052554802,227.5740176
588,0.052660666,227.6275749
589,0.052766531,227.6811322
590,0.052872395,227.7346895
591,0.05297826,227.7882468
592,0.053084124,227.8418041
593,0.053189988,227.8953614
594,0.053295853,227.9489188
595,0.053401717,228.0024761
596,0.053507582,228.0560334
597,0.053613446,228.1095907
598,0.053719311,228.163148
599,0.053825175,228.2167053
600,0.05397168,228.2742316
601,0.054118185,228.3317578
602,0.05426469,228.3892841
603,0.054411195,228.4468104
604,0.0545577,228.5043367
605,0.054704206,228.5618629
606,0.054850711,228.6193892
607,0.054997216,228.6769155
608,0.055143721,228.7344417
609,0.055290226,228.791968
610,0.055436731,228.8494943
611,0.055583236,228.9070206
612,0.055729741,228.9645468
613,0.055876246,229.0220731
614,0.056022751,229.0795994
615,0.056169256,229.1371256
616,0.056315761,229.1946519
617,0.056462267,229.2521782
618,0.056608772,229.3097044
619,0.056755277,229.3672307
620,0.056901782,229.424757
621,0.057048287,229.4822833
622,0.057194792,229.5398095
623,0.057341297,229.5973358
624,0.057486971,229.6590985
625,0.057632645,229.7208612
